mu,xi,sigma,c,generations,extinct,final_fitness,final_variance,final_clusters,final_silhouette,speciation
0.01,0.05,0.2,0.005,200,True,0.21220951303127417,0.0007573153246582294,2,1.0,True
0.01,0.05,0.2,0.01,50,True,0.2016298432457906,5.317974058939255e-33,1,,False
0.01,0.05,0.2,0.01,100,True,0.22376808455635577,0.001628827318558728,4,1.0,True
0.01,0.05,0.2,0.01,200,True,0.2279588460814435,0.0008981372332895716,3,0.9999999901455061,True
0.01,0.05,0.5,0.0,50,False,0.9487773671439522,7.771127325602497e-33,1,,False
0.01,0.05,0.5,0.0,100,False,0.9826290554629072,0.00022140519913444438,4,1.0,True
0.01,0.05,0.5,0.0,200,False,0.9687161799153788,1.3666880367857924e-32,1,,False
0.01,0.05,0.5,0.002,50,False,0.834038322324275,0.001306897483552415,4,0.9999999976497739,True
0.01,0.05,0.5,0.002,100,False,0.7918182273230253,7.203875671081409e-05,3,0.9999999749374343,True
0.01,0.05,0.5,0.002,200,False,0.4432704992321373,5.524530045474786e-32,1,,False
0.01,0.05,0.5,0.005,50,False,0.6607659113333811,1.8862588041710347e-05,3,1.0,True
0.01,0.05,0.5,0.005,100,True,0.2046713772118176,3.4720905778656135e-33,1,,False
0.01,0.05,0.5,0.005,200,True,0.20805671435735693,2.0053745545932093e-33,1,,False
0.01,0.05,0.5,0.01,50,True,0.20144153724789862,6.442235663975304e-33,1,,False
0.01,0.05,0.5,0.01,100,True,0.20250135103916458,1.6832627713944442e-32,1,,False
0.01,0.05,0.5,0.01,200,True,0.216294649353467,1.2074677971646537e-33,1,,False
0.01,0.05,1.0,0.0,50,False,0.9849144719328765,0.0027912387948119846,2,1.0,True
0.01,0.05,1.0,0.0,100,False,0.9956934159808681,0.00011716571277596779,4,0.9999999967666341,True
0.01,0.05,1.0,0.0,200,False,0.9911194003924383,1.8327452066004995e-06,4,0.99,True
0.01,0.05,1.0,0.002,50,False,0.9742899530307798,0.004417581655260927,3,1.0,True
0.01,0.05,1.0,0.002,100,False,0.9675143017811786,1.9803602545830806e-05,3,0.9960240797793383,True
0.01,0.05,1.0,0.002,200,False,0.7258734059654073,0.00012761026903841826,3,1.0,True
0.01,0.05,1.0,0.005,50,False,0.8432685703954718,0.005315447896449691,5,0.9899999747883519,True
